Title,Location,End Date,Link
"Lead, Entrepreneurship",Kenya,"End Date: June 16, 2026 (10 days left to apply)",https://mastercardfoundation.wd10.myworkdayjobs.com/en-US/mastercardfdn/job/Kenya/Lead--Entrepreneurship---Kenya_JR-0000000267-1?locationCountry=9e684fd7be1e469d9ee955a4c3b754be
"Head, Entrepreneurship",Kenya,"End Date: June 16, 2026 (10 days left to apply)",https://mastercardfoundation.wd10.myworkdayjobs.com/en-US/mastercardfdn/job/Kenya/Head--Entrepreneurship_JR-0000000265?locationCountry=9e684fd7be1e469d9ee955a4c3b754be
