Job Title,Location,Description,Apply Link
Account Manager Long Tail Lead - Kenya (They/She/He),"Partners & Brands, Nairobi, Kenya","As the Long Tail Lead in Kenya, your mission is to drive sustainable order growth and revenue from our long tail partners, small and mid-sized businesses that form the backbone of Glovo’s marketplace. You’ll lead a team of four Account Managers focused on helping these partners succeed by optimizing their investment in Glovo Ads, strengthening account relationships, and improving retention.",https://jobs.glovoapp.com/find-your-ride/job/account-manager-long-tail-lead-kenya-(theyshehe)/8074266002/
Sales Executive - Mombasa,"Partners & Brands, Mombasa Kenya","As a Sales Executive at Glovo in Mombasa you will be a key representative of our company’s sales team, responsible for creating a pipeline and signing up local stores and corporate customers around the city.",https://jobs.glovoapp.com/find-your-ride/job/sales-executive-mombasa/8055744002/
