Title,Location,Description,Link
"Director, Private Sector Finance, Health Systems Strengthening",Nairobi,N/A,https://careers-chai.icims.com/jobs/15337/director%2c-private-sector-finance%2c-health-systems-strengthening/job?in_iframe=1
"Senior Analyst, Finance & Operations, Health Systems Strengthening",Nairobi,N/A,https://careers-chai.icims.com/jobs/15061/senior-analyst%2c-finance-%26-operations%2c-health-systems-strengthening/job?in_iframe=1
