Job Title,Location,Closing Date,Apply Link,Description
Sales Representative - Coast - 2,MombasaFunction: CommerceSub Function: Commerce - Sales - Trade MarketingType of Contract: PermanentClosing Date: 22-07-2025,22-07-2025,https://careers.theheinekencompany.com/Kenya/job/Mombasa-Sales-Representative-Coast-2-100/1222022701/,"This position is responsible for increasing sales revenue within the allocated region, managing, servicing and executing existing outlets while prospecting and developing new accounts with a focus on building long term customer relationships to ensure listing and execution of the focus brands."
Sales Representative - Coast - 2,MombasaFunction: CommerceSub Function: Commerce - Sales - Trade MarketingType of Contract: PermanentClosing Date: 22-07-2025,22-07-2025,https://careers.theheinekencompany.com/Kenya/job/Mombasa-Sales-Representative-Coast-2-100/1222022701/,"This position is responsible for increasing sales revenue within the allocated region, managing, servicing and executing existing outlets while prospecting and developing new accounts with a focus on building long term customer relationships to ensure listing and execution of the focus brands."
Sales Representative - Nrb Central - 5,NairobiFunction: CommerceSub Function: Commerce - Sales - Trade MarketingType of Contract: PermanentClosing Date: 22-07-2025,22-07-2025,https://careers.theheinekencompany.com/Kenya/job/Nairobi-Sales-Representative-Nrb-Central-5-100/1222100801/,"Join KWAL and be a part of something bigger, as we accelerate excellence as a proud member of the HEINEKEN global family.  While we unlock new opportunities and shape the next chapter of our journey, KWAL is embedding a high-performing, agile business driven by innovation and purpose. If you're energized by transformation and inspired to make a meaningful difference, this is your moment to lead change and grow with a business that’s going places – fast!"
Sales Representative - Nrb Central - 5,NairobiFunction: CommerceSub Function: Commerce - Sales - Trade MarketingType of Contract: PermanentClosing Date: 22-07-2025,22-07-2025,https://careers.theheinekencompany.com/Kenya/job/Nairobi-Sales-Representative-Nrb-Central-5-100/1222100801/,"Join KWAL and be a part of something bigger, as we accelerate excellence as a proud member of the HEINEKEN global family.  While we unlock new opportunities and shape the next chapter of our journey, KWAL is embedding a high-performing, agile business driven by innovation and purpose. If you're energized by transformation and inspired to make a meaningful difference, this is your moment to lead change and grow with a business that’s going places – fast!"
