Title,Location,Job Type,Link
Customs Declaration Officer,Nairobi,Full Time,https://seaways.net/jobs/local-inbound-logistics-team-supervisor/
More Details,Nairobi,Full Time,https://seaways.net/jobs/local-inbound-logistics-team-supervisor/
