Title,Type,Location,Category,Link
CFO – Kenya,Full Time,"East Africa, Kenya, Nairobi / Kenya","Accounting, Risk Audit & Compliance",https://lewis.international/jobs/cfo-kenya/
Head of Legal – Kenya,Full Time,"East Africa, Kenya, Nairobi / Kenya","Legal, Risk Audit & Compliance",https://lewis.international/jobs/head-of-legal-kenya/
