title,link,location,department
Dealer in Kenya,https://career.capital.com/career-description/f65a5a8c-8f45-4d3c-9fc3-1b51c1eeeef3,,
Head of Finance in Kenya,https://career.capital.com/career-description/f35ff057-a9f7-4ad7-8af8-c3e0e23b570b,,
