Title,Location,Employment Type,Summary,Link
Community Sales Manager,"Nairobi, Kenya",Fixed Term,"Community Sales Manager

Are you a born networker, with a real passion for selling and hunting for new business? Somebody who can oversee the entire sales cycle and provide exceptional customer service to clients? A natural when it comes to genera...",https://jobs.iwgplc.com/jobs/community-sales-manager-nairobi-kenya-023d702b-1a45-4391-b8a2-49db90147850
Community Sales Manager,"Nairobi, Kenya",Fixed Term,"Customer Services and Sales Manager

Are you a born networker, with a real passion for selling and hunting for new business? Somebody who can oversee the entire sales cycle and provide exceptional customer service to clients? A natural when it com...",https://jobs.iwgplc.com/jobs/community-sales-manager-nairobi-kenya-87ffad93-d0d0-4846-bde3-9a7f1282d182
