Title,Link,Location,Job Type
"Regional Manager, Education (Central, Kenya)",https://eidu.jobs.personio.com/job/2079162?language=en,EIDU Kenya,permanent
"Regional Manager, Education (Western, Kenya)",https://eidu.jobs.personio.com/job/2079015?language=en,EIDU Kenya,permanent
