Job Title,Location,Category,Apply Link
Finance Strategy and Analytics Manager,Nairobi,Finance /,https://jobs.lever.co/tala/cdd1dcc8-3f6e-4212-8078-5b47f7d974ae
Evergreen _ Senior Backend Engineer(Kenya),Nairobi,Technology /,https://jobs.lever.co/tala/0dbed9f6-539b-43a2-b075-89559b64f648
