Title,Location,Link,Description
evergreenrequisitiontelesalesagent,"Nairobi, Kenya",https://sunculture.freshteam.com/jobs/HFa_5Xlzuv_r/evergreen-requisition-telesales-agent,evergreenrequisitiontelesalesagent
evergreenrequisition-regionalsalesmanager(multiplelocations),"Nairobi, Kenya",https://sunculture.freshteam.com/jobs/Z3-5sgGoGsPB/evergreen-requisition-regional-sales-manager-multiple-locations,evergreenrequisition-regionalsalesmanager(multiplelocations)
evergreenrequisition-regionaltrainingofficer(multiplelocations),"Nairobi, Kenya",https://sunculture.freshteam.com/jobs/sNu7XbyMn8vn/evergreen-requisition-regional-training-officer-multiple-locations,evergreenrequisition-regionaltrainingofficer(multiplelocations)
evergreenrequisition-salesteamlead(multiplelocations),"Nairobi, Kenya",https://sunculture.freshteam.com/jobs/lYxtqj0Acvqy/evergreen-requisition-sales-team-lead-multiple-locations,evergreenrequisition-salesteamlead(multiplelocations)
evergreenrequisition-servicecenterassociate(multiplelocations),"Nairobi, Kenya",https://sunculture.freshteam.com/jobs/WHdGr9PJIzYR/evergreen-requisition-service-center-associate-multiple-locations,evergreenrequisition-servicecenterassociate(multiplelocations)
debtrecoveryofficer,"Nairobi, Kenya",https://sunculture.freshteam.com/jobs/04AvyXCez-EP/debt-recovery-officer,debtrecoveryofficer
seniorcreditassociate,"Nairobi, Kenya",https://sunculture.freshteam.com/jobs/K3lLsPk13IuB/senior-credit-associate,seniorcreditassociate
seniordatascientist,"Nairobi, Kenya",https://sunculture.freshteam.com/jobs/eif0HxeZwKNa/senior-data-scientist,seniordatascientist
