Job Title,Job Description,Job Link
Lead - Wholesale & Carrier,"What we’re looking for; In keeping with our current business needs, we are looking for a person who meets the criteria indicated below Reporting to the Chief Enterprise & Public Sector Officer , the role purpose is as highlighted below; Th e Lead Wholesale & Carrie r is strategically accountable for driving sustainable growth, margin integrity, and partnership excellence across Safaricom’s wholesale and carrier business portfolio, including interconnect, roaming, capacity services, and international voice and data revenue streams. The role leads the development and execution of wholesale and carrier strategy, optimizing monetization of Safaricom’s network assets and international connectivity footprint. It ensures disciplined commercial structuring, regulatory compliance, partner performance governance, and cross-border revenue expansion across Kenya and regional markets. Operating within a highly technical and regulated environment, the role manages domestic and international carrier relationships, interconnect settlements, roaming agreements, capacity sales, and cross-network commercial frameworks to maximize revenue realization while protecting cost structures and risk exposure. The Lead Wholesale & Carrier partners closely with Technology (Network & Core), Finance, Risk, Regulatory & External Affairs, Legal, and M-Pesa Africa to ensure commercial alignment, settlement accuracy, dispute resolution efficiency, and long-term partnership sustainability.",https://egjd.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/1381
Lead - Converged Business Solutions,"What we’re looking for; In keeping with our current business needs, we are looking for a person who meets the criteria indicated below Reporting to the Chief Enterprise & Public Sector Officer, the role purpose is as highlighted below; The Lead Converged Business Solutions is strategically accountable for defining, architecting, managing and building our Core capabilities in Payments, Fixed, Mobile, Fixed Voice, VAS, including embedding Devices into Converged, industry-ready solutions across the Enterprise and Public Sector cluster Operating at the intersection of technology, commercial strategy, and industry demand, the role translates vertical market needs into structured solution blueprints, reference architectures, and converged propositions aligned to priority sectors including Government, Financial Services, Health, Manufacturing, and Transport. The Converged Business Solutions partners closely with Enterprise Sales, Systems Integration & Enterprise Platforms, Technology (TES), Financial Services, Ecosystem & Partnerships, Commercial Excellence, and Enterprise Operations to ensure that enterprise solutions are commercially viable, technically robust, operationally deliverable, and aligned to Safaricom’s long-term digital infrastructure strategy.",https://egjd.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/1382
